"","Modelo","AIC","BIC"
"1","ARMA01",3883.08755267069,3896.53687472506
"2","ARMA02",3879.14347853631,3897.07590794214
"3","ARMA03",3880.67680298933,3903.09233974661
"4","ARMA04",3879.98346844339,3906.88211255213
"5","ARMA05",3873.39405652878,3904.77580798898
"6","ARMA06",3865.53704330433,3901.40190211599
"7","ARMA07",3845.97477154208,3886.32273770519
"8","ARMA08",3840.80747948907,3885.63855300364
"9","ARMA09",3838.84646355243,3888.16064441846
"10","ARMA010",3840.48215119752,3894.279439415
"11","ARMA011",3839.87710097153,3898.15749654047
"12","ARMA012",3840.87423572862,3903.63773864902
"13","ARMA013",3841.75460929319,3909.00121956505
"14","ARMA014",3842.65319169379,3914.3829093171
"15","ARMA015",3844.61052491422,3920.82334988899
"16","ARMA016",3845.72137970895,3926.41731203518
"17","ARMA017",3839.23126237583,3924.41030205351
"18","ARMA018",3819.49854215306,3909.16068918221
"19","ARMA019",3821.05585051809,3915.2011048987
"20","ARMA020",3821.59597072256,3920.22433245462
"21","ARMA021",3820.16795750963,3923.27942659314
"22","ARMA022",3814.40949065942,3922.0040670944
"23","ARIMA011",3882.68897408379,3891.65212834234
"24","ARIMA012",3884.62119493705,3898.06592632488
"25","ARIMA013",3880.88654080737,3898.81284932447
"26","ARIMA014",3882.3752511987,3904.78313684509
"27","ARIMA015",3881.80359681828,3908.69305959394
"28","ARIMA016",3874.99727873071,3906.36831863565
"29","ARIMA017",3866.87662610399,3902.7292431382
"30","ARIMA018",3847.67632543009,3888.01051959358
"31","ARIMA019",3842.62879121793,3887.44456251069
"32","ARIMA0110",3840.59827005616,3889.8956184782
"33","ARIMA0111",3842.20508431583,3895.98400986715
"34","ARIMA0112",3841.49521352997,3899.75571621056
"35","ARIMA0113",3842.39369739348,3905.13577720335
"36","ARIMA0114",3843.18937796906,3910.41303490821
"37","ARIMA0115",3843.98234419488,3915.68757826331
"38","ARIMA0116",3845.91849856261,3922.10530976031
"39","ARIMA0117",3846.94001123793,3927.6083995649
"40","ARIMA0118",3840.15355710563,3925.30352256188
"41","ARIMA0119",3820.88870482005,3910.52024740558
"42","ARIMA0120",3822.36941854952,3916.48253826433
"43","ARIMA0121",3822.72752054906,3921.32221739315
"44","ARIMA0122",3821.51696533878,3924.59323931213
